species	longitude	latitude
Myrmecophaga tridactyla	-61.9	-25.83333333
Myrmecophaga tridactyla	-61.76666667	-25.63333333
Myrmecophaga tridactyla	-62.6	-28.61666667
Myrmecophaga tridactyla	-62.45	-28.745
Myrmecophaga tridactyla	-62.6	-28.63333333
Myrmecophaga tridactyla	-62.1	-28.46666667
Myrmecophaga tridactyla	-62.45	-28.75
Myrmecophaga tridactyla	-64.03333333	-25.71666667
Myrmecophaga tridactyla	-64.26666667	-26.2
Myrmecophaga tridactyla	-64.48333333	-26.28333333
Myrmecophaga tridactyla	-62.72027778	-23.95055556
Myrmecophaga tridactyla	-62.73611111	-24.02055556
Myrmecophaga tridactyla	-61.09583	-26.53278
Myrmecophaga tridactyla	-61.10756	-26.55846
Myrmecophaga tridactyla	-61.45833	-26.36428
Myrmecophaga tridactyla	-61.50681	-26.14497
Myrmecophaga tridactyla	-61.413569	-26.201556
Myrmecophaga tridactyla	-51.380865	-16.022558
Myrmecophaga tridactyla	-50.192511	-6.064997
Myrmecophaga tridactyla	-51.64355	-21.99643
Myrmecophaga tridactyla	-50.45365	-22.63537
Myrmecophaga tridactyla	-50.03108	-22.82823
Myrmecophaga tridactyla	-49.26336	-22.49579
Myrmecophaga tridactyla	-56.46649873	-20.1899355
Myrmecophaga tridactyla	-52.18144459	-15.22169738
Myrmecophaga tridactyla	-49.14549351	-16.53132319
Myrmecophaga tridactyla	-49.15714	-14.41903
Myrmecophaga tridactyla	-48.62257167	-15.53989
Myrmecophaga tridactyla	-48.62266333	-15.54042
Myrmecophaga tridactyla	-48.62257167	-15.53989
Myrmecophaga tridactyla	-55.39617018	-20.52545445
Myrmecophaga tridactyla	-55.39617018	-20.52545445
Myrmecophaga tridactyla	-48.45697237	-19.77680778
Myrmecophaga tridactyla	-48.77238323	-19.67391004
Myrmecophaga tridactyla	-48.46994689	-19.77531882
Myrmecophaga tridactyla	-51.62755423	-10.85299425
Myrmecophaga tridactyla	-48.25414577	-19.75684509
Myrmecophaga tridactyla	-47.63644348	-18.93259625
Myrmecophaga tridactyla	-47.63633514	-18.93276107
Myrmecophaga tridactyla	-61.06991368	-11.7822187
Myrmecophaga tridactyla	-49.20720329	-17.80341948
Myrmecophaga tridactyla	-47.06226156	-17.87385899
Myrmecophaga tridactyla	-55.56724896	-20.53672645
Myrmecophaga tridactyla	-49.3055992	-16.6789621
Myrmecophaga tridactyla	-46.10226384	-19.60144731
Myrmecophaga tridactyla	-56.61738077	-20.14381828
Myrmecophaga tridactyla	-48.88142814	-10.27391593
Myrmecophaga tridactyla	-49.02065844	-18.994724
Myrmecophaga tridactyla	-48.97334055	-19.73066193
Myrmecophaga tridactyla	-48.46719864	-19.7756959
Myrmecophaga tridactyla	-47.57358034	-19.65919681
Myrmecophaga tridactyla	-48.62791877	-9.60803537
Myrmecophaga tridactyla	-48.72275658	-9.8133393
Myrmecophaga tridactyla	-48.66568153	-9.69240435
Myrmecophaga tridactyla	-47.56592786	-21.22237188
Myrmecophaga tridactyla	-48.48324976	-8.57262516
Myrmecophaga tridactyla	-55.92428509	-20.49980724
Myrmecophaga tridactyla	-54.75259026	-16.3203917
Myrmecophaga tridactyla	-50.08359356	-19.62364869
Myrmecophaga tridactyla	-52.8479205	-20.4471936
Myrmecophaga tridactyla	-56.42798054	-20.20593626
Myrmecophaga tridactyla	-52.38888737	-20.03270642
Myrmecophaga tridactyla	-53.78456518	-19.45960805
Myrmecophaga tridactyla	-53.26772702	-20.43943115
Myrmecophaga tridactyla	-54.05088783	-19.60812635
Myrmecophaga tridactyla	-56.56560807	-20.16411
Myrmecophaga tridactyla	-51.174332	-19.6751566
Myrmecophaga tridactyla	-46.6244168	-19.58703659
Myrmecophaga tridactyla	-47.84723897	-18.13343996
Myrmecophaga tridactyla	-54.29757681	-22.46513996
Myrmecophaga tridactyla	-52.20751564	-15.62372801
Myrmecophaga tridactyla	-52.24874714	-15.71552797
Myrmecophaga tridactyla	-52.26645531	-15.73850577
Myrmecophaga tridactyla	-52.21842313	-15.67631726
Myrmecophaga tridactyla	-48.66679335	-19.73735068
Myrmecophaga tridactyla	-52.33556126	-14.71600795
Myrmecophaga tridactyla	-48.9158986	-19.27878463
Myrmecophaga tridactyla	-48.78170531	-10.1821846
Myrmecophaga tridactyla	-56.62170553	-20.14212184
Myrmecophaga tridactyla	-49.20834525	-17.80839801
Myrmecophaga tridactyla	-56.73925288	-20.09711674
Myrmecophaga tridactyla	-55.43265572	-20.53731292
Myrmecophaga tridactyla	-55.32021194	-20.50110344
Myrmecophaga tridactyla	-55.32021194	-20.50110344
Myrmecophaga tridactyla	-55.27337868	-20.47692725
Myrmecophaga tridactyla	-55.7003597	-20.5003945
Myrmecophaga tridactyla	-55.27337868	-20.47692725
Myrmecophaga tridactyla	-55.26298397	-20.46185533
Myrmecophaga tridactyla	-55.26298397	-20.46185533
Myrmecophaga tridactyla	-50.33530383	-13.7320393
Myrmecophaga tridactyla	-50.33271434	-13.70550089
Myrmecophaga tridactyla	-50.33271434	-13.70550089
Myrmecophaga tridactyla	-48.4425535	-22.898874
Myrmecophaga tridactyla	-51.45616007	-20.69785079
Myrmecophaga tridactyla	-51.45616007	-20.69785079
Myrmecophaga tridactyla	-49.19320347	-19.69215251
Myrmecophaga tridactyla	-48.87756382	-20.7360194
Myrmecophaga tridactyla	-49.09100117	-19.72507392
Myrmecophaga tridactyla	-60.83356444	2.713966299
Myrmecophaga tridactyla	-60.83355933	2.714072691
Myrmecophaga tridactyla	-56.92166667	-19.81274667
Myrmecophaga tridactyla	-54.1575596	-20.4844349
Myrmecophaga tridactyla	-54.1575596	-20.4844349
Myrmecophaga tridactyla	-54.15797667	-20.48451833
Myrmecophaga tridactyla	-54.65661193	-20.50487612
Myrmecophaga tridactyla	-49.54148833	-20.21879833
Myrmecophaga tridactyla	-54.90187167	-20.42925333
Myrmecophaga tridactyla	-49.02033707	-20.02284715
Myrmecophaga tridactyla	-48.83692486	-16.50437691
Myrmecophaga tridactyla	-50.3094751	-20.10115548
Myrmecophaga tridactyla	-56.3078372	-20.2785278
Myrmecophaga tridactyla	-55.796008	-20.4842436
Myrmecophaga tridactyla	-49.28696737	-8.35413643
Myrmecophaga tridactyla	-56.5725221	-20.92801747
Myrmecophaga tridactyla	-52.43166078	-17.60764495
Myrmecophaga tridactyla	-49.45952557	-16.85519343
Myrmecophaga tridactyla	-45.34035329	-20.6985856
Myrmecophaga tridactyla	-53.2851973	-22.2907223
Myrmecophaga tridactyla	-46.09108	-17.611175
Myrmecophaga tridactyla	-48.15542453	-18.32281305
Myrmecophaga tridactyla	-52.18423085	-15.26146743
Myrmecophaga tridactyla	-52.01274276	-15.91505365
Myrmecophaga tridactyla	-54.24138443	-16.77122806
Myrmecophaga tridactyla	-54.54264078	-16.57106792
Myrmecophaga tridactyla	-49.23598849	-17.3047964
Myrmecophaga tridactyla	-55.6172411	-20.51295695
Myrmecophaga tridactyla	-53.67398674	-16.88350213
Myrmecophaga tridactyla	-53.67398674	-16.88350213
Myrmecophaga tridactyla	-49.81633461	-20.47839462
Myrmecophaga tridactyla	-49.62347863	-20.99201283
Myrmecophaga tridactyla	-50.28610061	-19.72054648
Myrmecophaga tridactyla	-55.01528806	-21.74155874
Myrmecophaga tridactyla	-56.51408985	-20.18568888
Myrmecophaga tridactyla	-48.96503638	-19.33326262
Myrmecophaga tridactyla	-48.68201588	-23.47473738
Myrmecophaga tridactyla	-49.40218988	-20.65817179
Myrmecophaga tridactyla	-54.43266751	-16.63763632
Myrmecophaga tridactyla	-48.88060559	-10.26722688
Myrmecophaga tridactyla	-54.38122313	-16.65082191
Myrmecophaga tridactyla	-52.284815	-21.72551167
Myrmecophaga tridactyla	-52.30297667	-21.725935
